Program Specialties															Program Specialties																																							
	Country	State	Associates	Bachelors	Masters	PhD	Certificate Program	Distance/Online Program	Agricultural Geography	Applied Geography	Biogeography	Cartography	Climatology/Meteorology	"Conservation, Land Use, 
Resource Management"	Cultural Ecology	Cultural Geography	Economic Development	Economic Geography	Environmental Studies	Gender	Geographic Education	Geographic Thought	Geomorphology	GIS	GIS Certification Program	Hazards	Historical Geography	Location Theory	Medical Geography	Physical Geography (General)	"Planning (Regional, Urban)"	Political Geography	Population Geography	Quantitative Methods	Regional Development	Recreation and Tourism	Remote Sensing	Rural Geography	Social Geography	Transportation/Communication	Urban Geography	Water Resources	Regional Geography	North America	Middle America	South America	Europe	Africa	Asia	Australia and Oceania	Polar World	Middle East	Former Soviet Union	World
UNITED STATES																																																						
ALABAMA																																																						
Auburn University	United States	AL		X	X					X		X	X			X		X	X			X		X		X	X			X							X		X		X		abcdefk	a	b	c	d	e	f					k
University of Alabama	United States	AL		X	X		X				X		X	X				X	X				X	X	X					X	X				X		X			X	X		aek	a				e						k
University of North Alabama	United States	AL		X	X					X	X	X	X	X		X		X			X		X	X	X	X				X	X	X			X		X						abcefgijk	a	b	c		e	f	g		i	j	k
University of South Alabama	United States	AL		X			X				X	X	X	X				X	X		X		X	X	X	X	X			X	X					X	X				X		abcdk	a	b	c	d							k
ALASKA																																																						
University of Alaska	United States	AK														X			X					X																			ahk	a							h			k
ARIZONA																																																						
Arizona State University	United States	AZ		X	X	X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	abcdefghijk	a	b	c	d	e	f	g	h	i	j	k
Northern Arizona University	United States	AZ		X	X		X	X		X	X	X	X	X		X		X			X	X	X	X	X		X			X	X	X		X		X	X	X		X	X		adfk	a			d		f					k
Pima Community College	United States	AZ	X													X								X					X	X																								
University of Arizona	United States	AZ		X	X	X	X				X	X	X	X	X	X	X	X	X	X	X	X		X	X	X	X	X	X	X	X	X	X	X	X		X		X	X	X	X	abcdfijk	a	b	c	d		f			i	j	k
ARKANSAS																																																						
"University of Arkansas, Fayettville"	United States	AR		X	X						X	X	X	X				X					X	X		X					X			X			X					X	acdhi	a		c	d				h	i		
CALIFORNIA																																																						
American River College	United States	CA																						X	X					X													a	a										
"California State Polytechnic University, Pomona"	United States	CA		X							X	X	X	X		X		X	X					X	X					X		X	X			X	X	X			X	X	acdefk	a		c	d	e	f					k
"California State University, Chico"	United States	CA		X	X		X			X	X	X	X	X	X	X			X	X			X	X	X	X	X			X	X			X	X		X	X			X	X	abcdegk	a	b	c	d	e		g				k
"California State University, Fullerton"	United States	CA		X	X					X	X		X		X			X	X					X		X				X	X	X	X	X			X				X		acdefik	a		c	d	e	f			i		k
"California State University, Long Beach"	United States	CA		X	X		X			X	X	X			X	X		X		X	X	X		X	X	X				X		X		X			X		X	X	X	X	abcdefijk	a	b	c	d	e	f			i	j	k
"California State University, Northridge"	United States	CA		X	X		X				X	X	X	X		X	X		X				X	X	X	X				X			X	X		X	X		X		X		abcdefk	a	b	c	d	e	f					k
"California State University, Sacramento"	United States	CA								X		X	X			X		X					X	X							X						X				X	X	ade	a			d	e						
"California State University, San Bernardino"	United States	CA		X			X				X			X			X	X	X				X	X	X	X				X	X	X	X				X		X	X	X	X	ak	a										k
"California State University, Stanislaus"	United States	CA		X					X	X	X	X	X		X	X			X				X	X			X			X											X	X	abdek	a	b		d	e						k
Cosumnes River College	United States	CA	X				X						X			X			X		X			X	X					X													ak	a										k
"Environmental Systems Research Institute, Inc."	United States	CA																						X																														
Los Angeles Pierce College	United States	CA											X			X								X	X					X													k											k
Palomar College	United States	CA	X				X					X	X			X								X	X	X				X							X						ak	a										k
Pasadena City College	United States	CA	X							X						X														X													k											k
San Diego State University	United States	CA		X	X	X	X			X	X	X	X	X	X	X	X	X	X	X		X		X	X			X	X	X	X		X	X			X		X	X	X	X	abcdefk	a	b	c	d	e	f					k
San Francisco State University	United States	CA		X	X		X		X	X	X	X	X	X		X		X	X	X		X	X	X	X	X			X	X	X			X			X			X	X	X	adf	a			d		f					
Sonoma State University	United States	CA							X		X		X	X	X	X	X						X	X						X		X					X		X				abce	a	b	c		e						
"University of California, Berkeley"	United States	CA		X		X			X		X	X	X	X	X	X	X	X	X	X		X	X	X						X		X			X			X	X		X	X	abcdefhk	a	b	c	d	e	f		h			k
"University of California, Davis"	United States	CA			X	X			X	X	X	X		X	X	X	X	X	X	X			X	X			X		X	X	X	X		X	X		X	X	X	X	X	X	abcdefghijk	a	b	c	d	e	f	g	h	i	j	k
"University of California, Los Angeles"	United States	CA		X	X	X				X	X	X	X	X		X		X	X	X		X	X	X			X			X	X	X	X	X	X		X	X	X		X	X	abcdefghi	a	b	c	d	e	f	g	h	i		
"University of California, Santa Barbara"	United States	CA		X	X	X				X	X	X	X	X			X	X	X		X	X	X	X		X		X		X	X		X	X	X	X	X			X	X	X	k											k
University of Redlands	United States	CA								X		X		X					X					X										X			X			X		X												
University of Southern California	United States	CA			X		X	X																X		X			X					X			X					X												
COLORADO																																																						
Arapahoe Community College	United States	CO	X							X	X		X	X		X			X											X													k											k
United States Air Force Academy	United States	CO		X			X						X			X							X	X						X		X					X						abcdefijk	a	b	c	d	e	f			i	j	k
University of Colorado at Denver	United States	CO								X	X	X	X	X	X	X	X	X	X		X		X	X		X				X	X			X		X	X			X	X	X	abcdefijk	a	b	c	d	e	f			i	j	k
"University of Colorado, Boulder"	United States	CO		X	X	X					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X			X	X		X	X	X	X	X	X				X	X	abcdefhj	a	b	c	d	e	f		h		j	
"University of Colorado, Colorado Springs"	United States	CO		X	X					X	X			X	X	X			X		X		X	X	X	X				X			X	X		X	X		X		X	X	abdek	a	b		d	e						k
University of Denver	United States	CO						X		X	X	X	X	X	X	X		X	X				X	X	X	X				X	X		X	X			X			X	X	X	bcde		b	c	d	e						
University of Northern Colorado	United States	CO		X			X			X	X	X		X		X		X	X		X			X						X	X	X	X					X		X	X		abcdfghk	a	b	c	d		f	g	h			k
CONNECTICUT																																																						
Central Connecticut State University	United States	CT		X	X					X		X						X	X		X			X					X	X	X				X	X	X				X	X	abcdefjk	a	b	c	d	e	f				j	k
University of Connecticut	United States	CT		X	X	X	X						X	X			X	X					X	X	X			X	X	X	X		X				X	X		X	X	X	acd	a		c	d							
DELAWARE																																																						
University of Delaware	United States	DE		X	X	X	X				X		X	X		X			X		X		X	X	X		X			X	X			X			X		X			X	ahk	a							h			k
DISTRICT OF COLUMBIA																																																						
American University	United States	DC															X															X											bcdefi		b	c	d	e	f			i		
George Washington University	United States	DC		X	X									X		X			X					X			X		X	X	X	X	X		X		X			X	X		abcefk	a	b	c		e	f					k
U.S. Census Bureau	United States	DC								X		X						X						X								X	X	X				X			X		ak	a										k
FLORIDA																																																						
Florida Atlantic University	United States	FL		X	X	X	X			X	X			X	X		X		X				X	X	X	X					X			X	X	X	X			X	X	X	abc	a	b	c								
Florida International University	United States	FL		X	X	X			X					X	X	X		X	X	X				X	X							X	X	X					X		X		abcdefij	a	b	c	d	e	f			i	j	
Florida State University	United States	FL		X	X	X	X			X	X	X	X	X		X		X	X			X	X	X	X	X		X	X	X	X	X	X	X			X		X	X	X	X	acdfhik	a		c	d		f		h	i		k
University of South Florida	United States	FL		X	X	X		X	X	X	X	X	X	X		X	X	X	X	X		X	X	X	X	X			X	X	X	X		X	X	X	X	X	X	X	X	X	abcdefgik	a	b	c	d	e	f	g		i		k
GEORGIA																																																						
Georgia Southern University	United States	GA		X						X	X		X			X	X	X					X	X		X				X	X	X	X				X						cdf			c	d		f					
Georgia State University	United States	GA		X	X		X					X	X	X		X		X	X		X		X	X	X				X	X	X	X		X			X		X		X	X	abfi	a	b				f			i		
Kennesaw State University	United States	GA		X			X			X	X	X	X			X	X	X	X				X	X	X		X			X	X				X	X	X				X		abcdefk	a	b	c	d	e	f					k
University of Georgia	United States	GA		X	X	X	X		X		X	X	X	X	X	X	X	X	X	X			X	X	X	X			X	X		X	X	X			X		X	X	X	X	acdefghik	a		c	d	e	f	g	h	i		k
University of West Georgia	United States	GA		X							X	X				X	X	X	X					X	X						X	X		X			X		X		X	X	aek	a				e						k
HAWAII																																																						
Hawaii Pacific University	United States	HI		X												X		X						X						X			X			X							fg						f	g				
University of Hawaii	United States	HI		X	X	X	X		X		X	X	X	X	X	X	X	X	X				X	X						X	X	X			X	X	X		X			X	afgk	a					f	g				k
IDAHO																																																						
University of Idaho	United States	ID								X	X		X				X	X	X					X	X		X			X	X	X	X		X	X	X	X	X	X	X	X	abefhj	a	b			e	f		h		j	
ILLINOIS																																																						
Augustana College	United States	IL		X								X		X		X		X	X				X	X			X			X	X						X			X	X	X	abcf	a	b	c			f					
Chicago State University	United States	IL																		X					X									X			X		X		X		abcdek	a	b	c	d	e						k
DePaul University	United States	IL		X			X			X			X	X		X	X	X	X	X		X		X	X		X			X	X	X		X	X		X		X	X	X		abdefij	a	b		d	e	f			i	j	
Eastern Illinois University	United States	IL		X	X				X	X	X	X	X	X		X		X	X		X		X	X	X					X	X		X	X		X	X	X			X	X	abcdefk	a	b	c	d	e	f					k
