Program Specialties	Associates	Bachelors	Masters	PhD	Certificate Program	Distance / Online	Agricultural Geography	Applied Geography	Biogeography	Cartography	Climatology / Meteorology	"Conservation, Land Use"	Cultural Ecology	Cultural Geography	Economic Development	Economic Geography	Energy	Environmental Studies	Gender	Geographic Education	Geographic Thought	Geomorphology	GIS	GIS Certification Program	Hazards	Historical Geography	Location Theory	Medical Geography	Physical Geography (General)	"Planning (Regional, Urban)"	Political Ecology	Political Geography	Population Geography	Quantitative Methods	Regional Development	Recreation and Tourism	Remote Sensing	Rural Geography	Social Geography	Transportation and Communication	Urban Geography	Water Resources	North America	Middle America	South America	Europe	Africa	Asia	Australia Oceania	Polar World	Middle East	Former Soviet Union	World Regional
												Resource Management																																									
UNITED STATES																																																					
ALABAMA																																																					
Auburn University		X	X					X	X	X	X	X			X	X	X	X		X	X	X	X	X	X		X		X	X		X	X	X			X				X	X	X		X		X						X
University of Alabama		X	X	X			X			X	X							X				X	X	X					X					X			X					X											
University of North Alabama		X	X		X	X																	X						X																	X	X	X			X		
ARIZONA																																																					
Arizona State University		X	X	X		X		X			X	X		X	X	X	X				X	X	X	X	X		X		X	X				X			X			X	X	X	X	X				X		X			X
Northern Arizona University		X	X		X	X		X		X	X			X		X					X	X	X	X					X	X		X			X	X	X	X	X		X	X	X	X	X	X	X	X	X		X	X	X
University of Arizona		X	X	X	X	X		X	X	X	X			X		X		X	X		X	X	X	X					X	X	X	X	X	X	X		X		X	X	X	X	X	X	X		X	X					
ARKANSAS																																																					
University of Arkansas		X	X	X		X		X		X	X	X		X		X	X	X				X	X	X	X	X			X	X		X		X			X				X	X	X	X	X	X	X	X			X		
University of Central Arkansas		X	X		X	X						X		X				X					X	X																	X												
CALIFORNIA																																																					
"California State University, Chico"		X						X		X	X	X						X					X	X					X	X							X	X			X			X									
"California State University, Los Angeles"		X	X		X			X		X	X			X				X			X		X	X		X			X					X			X			X	X	X	X	X				X					X
"California State University, Northridge"		X	X					X		X	X			X		X		X		X		X	X		X			X	X				X			X	X				X	X	X	X	X	X	X	X	X				X
"California State University, Pomona"		X					X	X	X	X	X	X		X	X	X		X	X		X		X			X			X	X					X	X	X	X			X	X	X	X	X	X	X	X	X	X	X	X	X
"California State University, Sacramento"		X						X	X	X	X			X						X	X		X						X	X		X	X	X			X	X	X	X	X		X		X		X				X		
